Title,pdf_url,File_Size_KB,File_Path
130X0G4E1,https://ccsds.org/Pubs/130x0g4e1.pdf,82.81,downloads\txts\130x0g4e1.txt
141X0B1,https://ccsds.org/wp-content/uploads/gravity_forms/5-448e85c647331d9cbaf66c096458bdd5/2025/01/141x0b1.pdf,40.53,downloads\txts\141x0b1.txt
211X1B4E1,https://ccsds.org/Pubs/211x1b4e1.pdf,55.06,downloads\txts\211x1b4e1.txt
355X0B2,https://ccsds.org/Pubs/355x0b2.pdf,125.72,downloads\txts\355x0b2.txt
Computer Networks by Andrew S. Tanenbaum,https://csc-knu.github.io/sys-prog/books/Andrew%20S.%20Tanenbaum%20-%20Computer%20Networks.pdf,1758.06,downloads\txts\Andrew%20S.%20Tanenbaum%20-%20Computer%20Networks.txt
Conswitchch02,https://cdn.ttgtmedia.com/searchNetworking/downloads/ConSwitchch02.pdf,44.69,downloads\txts\ConSwitchch02.txt
Icce Presentation On Vesa Displayport,https://www.vesa.org/wp-content/uploads/2011/01/ICCE-Presentation-on-VESA-DisplayPort.pdf,21.85,downloads\txts\ICCE-Presentation-on-VESA-DisplayPort.txt
IEEE Standard - Ce Cfm Ieee 802 1Ad,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/cether/configuration/xe-3e/ce-xe-3e-book/ce_cfm-ieee_802_1ad.pdf,19.83,downloads\txts\ce_cfm-ieee_802_1ad.txt
Ets 300125E01P,https://www.etsi.org/deliver/etsi_i_ets/300100_300199/300125/01_60/ets_300125e01p.pdf,276.52,downloads\txts\ets_300125e01p.txt
N6K Ts L2,https://www.cisco.com/en/US/docs/switches/datacenter/nexus6000/sw/troubleshooting/guide/n6k_ts_l2.pdf,29.28,downloads\txts\n6k_ts_l2.txt
Pci Express System Architecture,https://www.mindshare.com/files/ebooks/pci%20express%20system%20architecture.pdf,417.36,downloads\txts\pci%20express%20system%20architecture.txt
Sg246772,https://www.redbooks.ibm.com/redbooks/pdfs/sg246772.pdf,716.22,downloads\txts\sg246772.txt
